Date,Ltp
8/7/2017,417
8/9/2017,415
8/10/2017,410
8/13/2017,407
8/15/2017,405
8/16/2017,403
8/17/2017,400
8/20/2017,383
8/21/2017,395
8/22/2017,380
8/23/2017,393
8/24/2017,400
8/27/2017,392
8/28/2017,387
8/30/2017,378
8/31/2017,375
9/4/2017,367
9/6/2017,368
9/7/2017,368
9/10/2017,360
9/11/2017,360
9/12/2017,354
9/13/2017,350
9/14/2017,357
9/17/2017,365
9/18/2017,370
9/20/2017,368
9/24/2017,365
9/25/2017,369
9/26/2017,371
10/3/2017,378
10/4/2017,372
10/8/2017,363
10/9/2017,371
10/10/2017,370
10/11/2017,372
10/12/2017,366
10/15/2017,369
10/16/2017,390
10/17/2017,387
10/18/2017,386
10/22/2017,393
10/23/2017,389
10/24/2017,391
10/25/2017,380
10/29/2017,378
10/30/2017,375
10/31/2017,370
11/1/2017,365
11/2/2017,363
11/5/2017,367
11/6/2017,355
11/7/2017,360
11/8/2017,349
11/9/2017,346
11/12/2017,357
11/13/2017,353
11/14/2017,355
11/15/2017,351
11/16/2017,350
11/19/2017,348
11/20/2017,350
11/21/2017,345
11/22/2017,342
11/23/2017,348
11/26/2017,343
11/27/2017,350
11/28/2017,355
11/29/2017,356
11/30/2017,353
12/4/2017,352
12/5/2017,355
12/6/2017,362
12/10/2017,360
12/11/2017,347
12/12/2017,334
12/13/2017,227
12/14/2017,223
12/17/2017,220
12/18/2017,214
12/19/2017,214
12/20/2017,212
12/21/2017,212
12/24/2017,211
12/26/2017,199
12/27/2017,196
12/28/2017,190
12/31/2017,188
1/1/2018,197
1/2/2018,200
1/3/2018,200
1/4/2018,198
1/7/2018,200
1/8/2018,199
1/9/2018,200
1/10/2018,197
1/14/2018,196
1/16/2018,199
1/17/2018,193
1/21/2018,189
1/22/2018,186
1/23/2018,186
1/24/2018,190
1/25/2018,187
1/28/2018,187
1/29/2018,183
1/31/2018,188
2/1/2018,191
2/4/2018,193
2/5/2018,190
2/6/2018,188
2/7/2018,186
2/8/2018,187
2/11/2018,187
2/12/2018,189
2/14/2018,189
2/15/2018,193
2/18/2018,195
2/20/2018,190
2/21/2018,187
2/22/2018,189
2/25/2018,190
2/26/2018,189
2/27/2018,187
2/28/2018,180
3/4/2018,168
3/5/2018,169
3/6/2018,174
3/7/2018,180
3/11/2018,171
3/12/2018,183
3/13/2018,179
3/14/2018,175
3/15/2018,178
3/18/2018,178
3/19/2018,172
3/20/2018,167
3/21/2018,167
3/22/2018,164
3/26/2018,157
3/27/2018,167
3/28/2018,165
3/29/2018,169
4/1/2018,163
4/2/2018,156
4/3/2018,162
4/4/2018,171
4/5/2018,173
4/8/2018,176
4/9/2018,172
4/10/2018,170
4/11/2018,173
4/12/2018,174
4/15/2018,179
4/16/2018,182
4/17/2018,186
4/18/2018,196
4/19/2018,199
4/22/2018,207
4/23/2018,205
4/24/2018,194
4/25/2018,190
4/26/2018,184
4/29/2018,191
5/2/2018,197
5/3/2018,192
5/6/2018,180
5/7/2018,180
5/8/2018,180
5/9/2018,179
5/10/2018,178
5/14/2018,174
5/15/2018,175
5/16/2018,176
5/17/2018,176
5/20/2018,174
5/21/2018,174
5/22/2018,172
5/23/2018,172
5/24/2018,167
5/27/2018,167
5/28/2018,175
5/29/2018,171
5/30/2018,170
5/31/2018,170
6/3/2018,163
6/4/2018,166
6/6/2018,162
6/7/2018,161
6/10/2018,160
6/11/2018,162
6/12/2018,162
6/13/2018,163
6/14/2018,163
6/17/2018,163
6/18/2018,155
6/19/2018,153
6/20/2018,152
6/21/2018,149
6/24/2018,152
6/25/2018,146
6/26/2018,150
6/27/2018,150
6/28/2018,150
7/1/2018,149
7/2/2018,151
7/3/2018,150
7/4/2018,155
7/5/2018,155
7/8/2018,150
7/9/2018,148
7/10/2018,149
7/11/2018,147
7/12/2018,145
7/15/2018,149
7/16/2018,157
7/17/2018,154
7/18/2018,153
7/19/2018,149
7/22/2018,147
7/23/2018,147
7/24/2018,149
7/25/2018,150
7/26/2018,148
7/29/2018,148
7/30/2018,146
7/31/2018,149
8/1/2018,147
8/2/2018,144
8/5/2018,145
8/6/2018,145
8/7/2018,142
8/8/2018,145
8/9/2018,147
8/12/2018,145
8/13/2018,144
8/14/2018,146
8/15/2018,148
8/16/2018,149
8/19/2018,147
8/20/2018,145
8/21/2018,144
8/22/2018,144
8/23/2018,145
8/26/2018,143
8/28/2018,143
8/29/2018,143
8/30/2018,147
9/2/2018,146
9/3/2018,148
9/4/2018,146
9/5/2018,150
9/6/2018,150
9/9/2018,148
9/10/2018,146
9/11/2018,146
9/12/2018,150
9/13/2018,149
9/16/2018,153
9/17/2018,152
9/18/2018,152
9/20/2018,154
9/23/2018,153
9/25/2018,159
9/26/2018,165
9/27/2018,164
9/30/2018,163
10/1/2018,153
10/2/2018,155
10/3/2018,153
10/4/2018,152
10/7/2018,150
10/8/2018,152
10/9/2018,153
10/10/2018,152
10/11/2018,150
10/14/2018,152
10/15/2018,155
10/21/2018,155
10/22/2018,154
10/23/2018,153
10/24/2018,153
10/25/2018,153
10/28/2018,150
10/29/2018,150
10/30/2018,151
10/31/2018,150
11/1/2018,150
11/4/2018,147
11/5/2018,150
11/11/2018,150
11/12/2018,148
11/13/2018,150
11/14/2018,145
11/15/2018,143
11/18/2018,140
11/19/2018,140
11/20/2018,140
11/21/2018,146
11/22/2018,142
11/25/2018,140
11/26/2018,144
11/27/2018,144
11/28/2018,146
11/29/2018,142
12/2/2018,139
12/3/2018,139
12/4/2018,139
12/5/2018,140
12/6/2018,139
12/9/2018,140
12/10/2018,142
12/11/2018,140
12/12/2018,138
12/13/2018,140
12/16/2018,142
12/17/2018,143
12/18/2018,137
12/19/2018,142
12/20/2018,153
12/23/2018,153
12/24/2018,145
12/25/2018,147
12/26/2018,151
12/27/2018,145
12/30/2018,143
12/31/2018,147
1/1/2019,139
1/2/2019,138
1/3/2019,136
1/6/2019,135
1/7/2019,139
1/8/2019,137
1/9/2019,138
1/10/2019,138
1/13/2019,135
1/14/2019,137
1/15/2019,147
1/16/2019,155
1/17/2019,149
1/20/2019,143
1/21/2019,142
1/22/2019,146
1/23/2019,143
1/24/2019,145
1/27/2019,143
1/28/2019,143
1/29/2019,144
1/30/2019,142
